sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Asignatura1,Asignatura2,Asignatura3,Asignatura4,Asignatura5,Asignatura6,Asignatura7,Asignatura8,Asignatura9,Asignatura10,Asignatura11,Asignatura12
M,18,R,GT3,T,4,4,at_home,services,other,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,5,1,1,1,5,"[20, 12, 18, 20, 13, 20, 7, 20, 20, 1]","[14, 5, 20, 20, 2, 2, 6, 8, 8, 20]","[20, 20, 20, 20, 1, 20, 11, 5, 15, 20]","[20, 2, 20, 3, 20, 18, 9, 20, 14, 20]","[20, 6, 20, 20, 14, 20, 20, 17, 20, 4]","[18, 20, 16, 8, 20, 20, 9, 12, 12, 19]","[3, 7, 14, 17, 14, 20, 20, 8, 20, 19]","[17, 4, 20, 16, 20, 20, 0, 9, 20, 2]","[0, 20, 5, 20, 0, 20, 20, 20, 18, 20]","[7, 20, 20, 20, 20, 9, 13, 19, 3, 20]","[20, 9, 14, 20, 8, 2, 0, 0, 20, 20]","[2, 20, 20, 20, 9, 2, 18, 3, 20, 20]"
M,17,R,GT3,T,1,1,other,services,other,father,3,1,0,no,no,no,no,no,no,no,no,4,2,3,3,4,4,4,"[6, 20, 20, 20, 3, 20, 20, 20, 20, 20]","[0, 20, 18, 15, 18, 20, 17, 10, 20, 20]","[3, 20, 20, 20, 17, 8, 10, 4, 18, 16]","[20, 20, 7, 20, 7, 17, 5, 20, 4, 18]","[2, 20, 20, 4, 20, 20, 16, 20, 18, 18]","[17, 6, 20, 1, 20, 6, 13, 1, 5, 18]","[19, 11, 6, 4, 16, 7, 6, 13, 15, 19]","[11, 20, 20, 18, 12, 20, 20, 15, 20, 10]","[15, 20, 3, 20, 1, 20, 4, 20, 20, 8]","[0, 1, 0, 13, 19, 20, 20, 10, 2, 20]","[20, 18, 18, 6, 20, 20, 0, 20, 20, 13]","[20, 20, 7, 20, 4, 12, 7, 20, 11, 20]"
F,18,U,GT3,T,2,2,other,other,course,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,1,3,1,1,1,2,4,"[9, 0, 16, 20, 14, 6, 15, 0, 13, 4]","[7, 20, 8, 4, 11, 16, 6, 5, 14, 16]","[7, 3, 2, 7, 3, 10, 5, 16, 0, 14]","[4, 16, 2, 12, 0, 14, 17, 5, 20, 19]","[14, 7, 1, 2, 1, 9, 1, 10, 20, 14]","[15, 19, 20, 17, 3, 10, 2, 10, 20, 18]","[10, 18, 11, 19, 7, 7, 4, 12, 1, 16]","[20, 14, 19, 18, 1, 17, 14, 9, 11, 7]","[5, 16, 17, 14, 4, 15, 1, 12, 8, 9]","[8, 5, 14, 2, 13, 16, 3, 9, 11, 1]","[13, 6, 2, 14, 16, 15, 9, 10, 1, 6]","[14, 8, 13, 17, 6, 17, 1, 10, 8, 3]"
F,18,U,LE3,T,2,2,services,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,1,4,3,0,"[20, 16, 11, 16, 20, 4, 8, 4, 20, 11]","[5, 3, 20, 15, 13, 16, 20, 2, 10, 6]","[20, 16, 14, 8, 15, 9, 20, 5, 11, 8]","[20, 20, 13, 20, 3, 20, 20, 20, 20, 5]","[20, 9, 1, 18, 14, 13, 13, 20, 1, 11]","[20, 20, 20, 10, 0, 19, 20, 17, 20, 20]","[2, 2, 16, 5, 12, 12, 20, 0, 20, 14]","[20, 15, 3, 19, 19, 20, 20, 20, 14, 0]","[5, 2, 0, 7, 20, 15, 20, 20, 20, 1]","[15, 1, 16, 5, 12, 3, 20, 7, 12, 20]","[19, 3, 11, 18, 15, 20, 20, 1, 2, 15]","[19, 20, 20, 0, 15, 20, 12, 14, 10, 19]"
F,18,R,LE3,A,4,2,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,1,1,1,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,18,U,GT3,T,1,1,at_home,services,course,mother,3,2,1,no,no,no,no,yes,no,no,no,4,4,2,1,2,2,2,"[2, 14, 13, 16, 3, 2, 8, 13, 13, 17]","[14, 15, 9, 10, 4, 19, 19, 4, 5, 12]","[6, 7, 20, 0, 10, 15, 11, 10, 5, 11]","[13, 5, 9, 13, 15, 6, 4, 10, 20, 1]","[9, 19, 4, 3, 16, 10, 5, 2, 15, 11]","[9, 8, 10, 20, 5, 14, 9, 1, 16, 4]","[15, 6, 15, 20, 16, 20, 2, 0, 4, 0]","[6, 1, 8, 14, 1, 18, 9, 2, 20, 13]","[2, 3, 20, 8, 5, 14, 18, 15, 17, 7]","[7, 3, 4, 9, 14, 19, 3, 2, 8, 11]","[13, 15, 11, 10, 19, 8, 19, 3, 20, 3]","[15, 5, 15, 12, 14, 6, 8, 12, 19, 1]"
F,19,U,GT3,T,1,1,at_home,services,other,father,2,1,1,no,no,no,no,yes,no,no,no,5,5,5,2,3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,17,U,GT3,T,4,2,teacher,other,course,father,2,4,0,no,no,no,no,yes,yes,yes,yes,4,2,3,3,1,5,0,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[3, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 18, 9, 12, 20, 20, 20, 20, 8]","[20, 20, 20, 20, 20, 20, 2, 20, 20, 0]","[15, 16, 20, 17, 20, 17, 18, 20, 20, 20]","[20, 20, 15, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 8, 20, 20, 3, 20, 11]","[20, 12, 20, 20, 0, 20, 20, 17, 20, 20]","[11, 20, 20, 20, 20, 20, 20, 11, 20, 16]","[20, 3, 20, 15, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 15, 20, 20, 8, 20, 20, 20, 20, 20]"
F,17,R,LE3,A,2,1,services,other,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,2,5,"[12, 1, 15, 18, 11, 13, 10, 20, 19, 0]","[20, 12, 3, 20, 10, 18, 6, 6, 14, 13]","[8, 9, 2, 20, 19, 20, 4, 9, 6, 7]","[14, 20, 18, 18, 17, 2, 6, 5, 20, 5]","[10, 20, 13, 20, 12, 17, 7, 9, 12, 20]","[8, 14, 20, 20, 11, 17, 20, 19, 16, 14]","[20, 20, 11, 15, 17, 16, 0, 20, 16, 6]","[17, 7, 3, 0, 4, 2, 10, 11, 19, 4]","[3, 0, 20, 20, 10, 16, 9, 17, 14, 0]","[20, 13, 0, 11, 20, 20, 10, 4, 8, 20]","[20, 4, 20, 20, 6, 20, 20, 4, 8, 11]","[14, 9, 1, 4, 6, 16, 2, 15, 1, 17]"
F,18,U,LE3,A,1,1,at_home,services,course,mother,1,2,0,no,no,no,no,yes,yes,no,yes,5,2,3,1,2,3,2,"[1, 5, 1, 0, 4, 14, 2, 18, 20, 20]","[7, 12, 7, 16, 16, 19, 8, 14, 10, 20]","[18, 13, 2, 8, 8, 11, 2, 8, 12, 1]","[12, 9, 20, 8, 15, 1, 15, 17, 20, 14]","[15, 5, 5, 3, 4, 11, 4, 15, 9, 13]","[7, 13, 17, 10, 16, 15, 16, 7, 17, 12]","[13, 11, 9, 20, 20, 9, 4, 16, 10, 1]","[3, 20, 4, 14, 15, 19, 13, 14, 16, 4]","[4, 8, 19, 0, 10, 5, 17, 5, 11, 17]","[15, 1, 19, 7, 5, 3, 1, 20, 16, 14]","[15, 20, 11, 17, 13, 7, 13, 6, 10, 20]","[12, 3, 13, 16, 17, 5, 13, 0, 17, 18]"
